=== PACMAN (explicit) ===
1password 8.12.0-13
1password-cli 2.32.0-2
7zip 25.01-1
alacritty 0.16.1-1
alsa-utils 1.2.15.2-1
android-tools 35.0.2-23
arandr 0.1.11-6
arduino-cli 1.4.0-1
aspell 0.60.8.1-2
audio-recorder 3.3.4-3
autoconf 2.72-1
automake 1.18.1-1
aws-cli 1.44.15-1
aws-vault 7.7.11-1
base 3-2
base-devel 1-2
bash-completion 2.17.0-3
bc 1.08.2-1
bear 4.0.2-1
bemoji 0.4.0-1
bind 9.20.18-1
bison 3.8.2-8
bitwarden 2025.10.0-1
bitwarden-cli 2025.11.0-1
blueman 2.4.6-2
bluez 5.85-1
bluez-utils 5.85-1
brave-bin 1:1.86.142-1
brightnessctl 0.5.1-3
brother-hll2300d 3.2.0_1-1
brother-hll2350dw 4.0.0-2
camset 0.0.21-1
cava 0.10.6-1
ccache 4.12.2-1
chafa 1.16.2-1
chromium 144.0.7559.96-1
clang 21.1.6-3
claude-code 2.1.20-1
cliphist 1:0.7.0-1
clipmenu 6.2.0-3
cmake 4.2.2-2
cups 2:2.4.16-1
cups-pdf 3.0.2-1
cursor-bin 2.4.21-1
debugedit 5.2-1
dfu-util 0.11-3
dhcpcd 10.3.0-1
dialog 1:1.3_20260107-1
docker 1:29.1.4-1
docker-compose 5.0.1-1
dolphin 25.12.1-1
dotool 1.5-1
downgrade 11.8.0-1
dpkg 1.23.3-1
droidcam-obs-plugin 2.4.2-1
dropbox 240.4.8493-1
dunst 1.13.0-1
efibootmgr 18-3
electron30-bin 30.5.1-2
electron32-bin 32.3.3-2
emacs-wayland 30.2-1
eww 0.6.0-1
fakeroot 1.37.2-1
fd 10.3.0-1
feh 3.11.2-2
firefox 147.0.1-1
flameshot 13.3.0-2
flatpak 1:1.16.3-1
flex 2.6.4-5
fontforge 20251009-5
foot 1.25.0-1
fortune-mod 3.24.0-1
fprintd 1.94.5-1
freecad 1.0.2-8
freewheeling 0.6.6-6
fuzzel 1.13.1-1
fwupd 2.0.19-1
gcc 15.2.1+r447+g6a64f6c3ebb8-1
git 2.52.0-2
github-cli 2.86.0-1
gnome-calendar 49.1-1
gnome-font-viewer 49.0-1
gnome-keyring 1:48.0-1
gnu-netcat 0.7.1-12
goimapnotify 2.5.4-1
gopls 0.21.0-2
gopreload-git r67.6879317-1
gparted 1.7.0-1
grim 1.5.0-2
groff 1.23.0-7
grub 2:2.14-1
gst-plugins-good 1.26.10-3
gthumb 3.12.9-1
gucharmap 17.0.1-1
hypridle 0.1.7-6
hyprland 0.53.3-1
hyprlock-git 0.9.2.r9.gef3017f-1
hyprpaper 0.8.2-1
hyprpicker 0.4.5-8
hyprtoolkit-git 0.5.3.r0.g71515e8-1
iio-sensor-proxy 3.8-1
input-remapper-git 2.2.0.r9.g0e1e0be9-1
ispell 3.4.06-1
isync 1.5.1-2
kdeconnect 25.12.1-1
kdenlive 25.12.1-1
keyd 2.6.0-2
kwallet-pam 6.5.5-1
kwalletmanager 25.12.1-1
libtool 2.6.0-3
lingot 1.1.1-1
linux 6.18.6.arch1-1
linux-firmware 20260110-1
linux-headers 6.18.6.arch1-1
lsof 4.99.5-2
m4 1.4.20-1
maim 5.8.1-3
make 4.4.1-2
memtest86+ 7.20-2
mkchromecast-git 0.3.8.1.r315.g6e583366-1
monero-gui 0.18.4.5-1
mongodb-compass-bin 1.49.0-1
mongodb-tools 1:100.14.0-1
mongosh-bin 2.6.0-1
mpv 1:0.41.0-2
msmtp 1.8.32-1
neofetch 7.1.0-2
nerd-dictation-git 0.0.r161.41f3727-1
net-tools 2.10-3
netctl 1.29-2
network-manager-applet 1.36.0-1
networkmanager 1.54.3-1
nitrogen 1.6.1-6
nmap 7.98-4
notmuch 0.39-3
noto-fonts 1:2026.01.01-1
noto-fonts-cjk 20240730-1
noto-fonts-emoji 1:2.051-1
noto-fonts-extra 1:2026.01.01-1
nss-mdns 0.15.1-2
ntfs-3g 2022.10.3-2
ntp 4.2.8.p18-6
nvm 0.40.3-1
obs-studio 32.0.4-1
openscad 2021.01-19
openssh 10.2p1-2
